OrderID,ProductCategory,QuantityReturned,PurchaseAmount,ReasonForReturn,CustomerAccountAge,PreviousReturns,PreviousFraudReports,DeliveryType,ReturnCondition,RefundIssued,fraud
76,Beauty & Health,8,133.25685881337284,Wrong item,318,11,0,Standard,Unopened,531.8447475632385,0
77,Books,7,100.89021251958951,Wrong item,112,4,0,Express,Complete,221.17361928102028,1
78,Electronics,6,184.16903598937768,Wrong item,522,6,1,Express,Defective,175.0865300779551,0
79,Electronics,2,98.91153090574849,Defective,585,14,2,Express,Damaged,370.5215420544015,1
80,Electronics,3,156.39814673833962,Not as described,1067,12,1,Express,Opened,102.86835261089918,0
81,Clothing,9,376.6329552178899,Not as described,885,7,0,Express,Defective,178.35384376342438,1
82,Books,9,249.21153724221787,Did not like,218,7,2,Standard,Damaged,141.71627668900905,0
83,Clothing,5,200.0198213575529,Wrong item,370,2,2,Express,Defective,164.25824107192418,1
84,Clothing,3,196.98752253238067,Not as described,1011,2,1,Standard,Defective,168.147792719064,1
85,Books,2,113.37438795202553,Did not like,1220,4,1,Standard,Opened,395.1162823324669,1
86,Books,8,234.75749805775772,No longer needed,941,4,2,Standard,Opened,318.46193082202217,1
87,Books,6,319.8250681703246,Wrong item,1170,1,0,Standard,Defective,524.2610724259362,0
88,Books,7,86.7943205687474,Not as described,763,4,0,Standard,Defective,454.5891450908839,1
89,Electronics,1,486.950173505703,Not as described,1123,0,2,Express,Unopened,324.36960567463706,0
90,Home & Garden,1,232.77496468483213,Not as described,272,10,1,Express,Damaged,219.08123181807727,0
91,Home & Garden,2,475.02124004066945,Did not like,886,6,1,Standard,Complete,507.57929405502665,1
92,Books,3,84.6362847796089,No longer needed,446,13,0,Standard,Complete,93.74516062242398,0
93,Home & Garden,1,388.2636575228865,Wrong item,336,14,0,Standard,Unopened,424.54994536002306,0
94,Home & Garden,5,316.46626426090154,Not as described,1036,10,2,Standard,Defective,112.1518040286008,1
95,Books,3,413.63077738081796,Defective,642,6,0,Express,Defective,343.0380276815199,0
96,Home & Garden,1,308.3254030184985,Wrong item,1336,0,0,Express,Unopened,545.8879175489283,0
97,Clothing,8,482.1615839565469,Defective,1395,2,1,Standard,Complete,180.93705572894888,0
98,Beauty & Health,6,320.92727884633166,Did not like,506,7,1,Express,Opened,93.19160820731426,0
99,Beauty & Health,9,396.60998016534467,Not as described,177,12,0,Standard,Opened,236.72442444546655,1
100,Books,3,441.2392508160163,Wrong item,1269,10,1,Express,Defective,313.0415469755049,1
101,Electronics,9,363.0000661810208,Wrong item,111,8,1,Standard,Damaged,448.6447987979233,0
102,Books,9,271.633595150317,Not as described,328,2,1,Express,Complete,66.35324311276801,0
103,Electronics,1,150.95219780644175,No longer needed,942,13,0,Express,Damaged,121.98558002349468,0
104,Beauty & Health,3,430.15645442992127,Did not like,1064,5,1,Standard,Defective,275.9037414514654,0
105,Books,6,250.67756129056562,Not as described,1464,5,0,Standard,Complete,102.26168188072408,1
106,Clothing,8,317.93994864082833,Wrong item,771,14,0,Express,Opened,575.7398107155884,0
107,Home & Garden,4,58.028738182841515,No longer needed,938,5,2,Standard,Opened,331.04384173457083,1
108,Electronics,5,258.7286351008879,Wrong item,263,4,2,Standard,Damaged,257.3134380254486,0
109,Home & Garden,9,355.1156691295256,Defective,481,5,2,Express,Complete,588.8500231065833,1
110,Home & Garden,6,300.3545167682096,Wrong item,830,5,0,Standard,Defective,405.3521450446922,0
111,Books,7,235.3063309019384,Did not like,681,9,2,Standard,Unopened,333.7025904723578,1
112,Home & Garden,7,127.24511203984122,Not as described,871,5,1,Express,Unopened,182.62399299625173,1
113,Clothing,4,168.6416960432766,Wrong item,1041,12,2,Standard,Unopened,189.19324981140124,0
114,Home & Garden,4,356.2996919179045,Defective,1186,7,0,Express,Defective,249.24703403879158,1
115,Books,4,127.61153544291147,Defective,1094,13,1,Express,Unopened,462.8992327562692,0
116,Clothing,5,318.4287753482633,Not as described,345,10,1,Standard,Damaged,498.80271071605847,1
117,Beauty & Health,5,303.07405402697754,Defective,1097,5,1,Standard,Opened,155.64102347079228,0
118,Home & Garden,8,485.8003901056946,Not as described,149,11,2,Standard,Unopened,499.5763752823676,0
119,Books,9,49.175284392641544,Did not like,1357,2,2,Express,Opened,232.0160288997244,0
120,Beauty & Health,2,71.89885150210952,Not as described,1405,6,2,Standard,Damaged,160.16247485211682,1
121,Beauty & Health,7,262.92006350996337,No longer needed,768,5,2,Express,Complete,157.13041528955563,1
122,Electronics,1,273.01271616974464,Defective,319,13,1,Standard,Complete,304.88676030432066,0
123,Clothing,1,39.16527622648219,Defective,1006,10,0,Express,Defective,471.9217881991445,0
124,Home & Garden,4,416.41060201253697,Wrong item,1471,8,2,Standard,Opened,363.89352232010333,1
125,Books,7,257.46727908939,No longer needed,463,3,0,Express,Defective,305.5558398687963,0
126,Electronics,2,186.3889983874538,Wrong item,1091,0,1,Standard,Unopened,59.909003369828625,0
127,Clothing,2,173.0498098951404,Not as described,1019,5,0,Standard,Defective,359.95872101280276,0
128,Electronics,1,433.475447146007,Did not like,662,8,0,Express,Damaged,421.08829999216414,0
129,Clothing,2,114.43177588552656,Defective,141,12,2,Express,Defective,103.93918326867154,0
130,Clothing,7,97.00049860765245,Did not like,522,7,2,Express,Unopened,575.8974096089762,0
131,Home & Garden,9,122.32569402717593,Not as described,234,1,1,Express,Unopened,100.34778562384321,0
132,Clothing,6,320.0108228729425,Not as described,885,2,2,Express,Damaged,429.8721446625879,1
133,Electronics,2,409.2468107016364,No longer needed,1382,7,0,Express,Opened,338.5051621706901,0
134,Clothing,9,178.86977301832619,Wrong item,1314,11,0,Standard,Complete,536.3040270400281,1
135,Home & Garden,7,103.2617590951102,Defective,1379,10,0,Express,Damaged,277.75162275318866,0
136,Home & Garden,1,120.41320046173786,Defective,847,8,0,Standard,Complete,329.6987361155697,0
137,Electronics,9,317.2082136885685,Did not like,172,7,2,Express,Damaged,354.1080083627472,1
138,Beauty & Health,2,138.09690858283034,No longer needed,1197,14,1,Express,Damaged,531.1658272635345,0
139,Beauty & Health,4,441.09451104865605,Not as described,734,9,2,Express,Defective,489.80606402324935,1
140,Clothing,9,69.8678501188707,No longer needed,500,0,0,Express,Defective,204.06034148723882,1
141,Books,4,35.536896322649696,Defective,1202,2,1,Express,Defective,575.3907064976611,0
142,Clothing,3,62.42155806123389,Wrong item,1092,12,1,Standard,Damaged,464.18866490373796,0
143,Electronics,1,425.9086977854338,Did not like,1371,10,0,Standard,Defective,56.62446604516803,0
144,Electronics,7,332.5901694395173,Not as described,1310,7,0,Express,Damaged,151.0600923224877,0
145,Electronics,6,479.71742389628014,Not as described,569,0,2,Standard,Defective,520.6933857854697,0
146,Electronics,4,181.42233980948365,Not as described,678,11,1,Standard,Complete,405.2248396686993,0
147,Electronics,6,122.08550144465573,Wrong item,555,6,1,Express,Opened,191.97095177117774,1
148,Home & Garden,6,289.7481148705996,Defective,1399,3,2,Express,Defective,144.28218067608015,1
149,Beauty & Health,4,278.1575739808393,Defective,1302,11,0,Express,Unopened,130.71356032058986,0
150,Electronics,6,303.69151433375447,No longer needed,1013,6,1,Standard,Opened,224.95799591542345,0
151,Books,8,186.81625407696743,No longer needed,228,3,2,Express,Unopened,544.1915204382542,1
152,Books,3,22.830531217657644,Defective,478,7,1,Standard,Opened,243.6254837837252,0
153,Books,4,36.81519341149608,Not as described,1238,11,2,Standard,Defective,413.3853105266361,0
154,Books,1,338.6367014828062,Wrong item,1445,5,1,Express,Complete,111.36110818252956,0
155,Home & Garden,4,271.16386311463106,Defective,488,9,0,Standard,Defective,342.2697624035618,1
156,Books,9,414.0854046326113,Wrong item,885,9,0,Standard,Damaged,238.5809347150157,0
157,Electronics,8,164.19673221766254,Did not like,563,12,1,Express,Unopened,138.28656633053058,1
158,Clothing,4,411.42667387096407,Not as described,1325,7,1,Express,Opened,488.7783064577239,0
159,Books,7,224.23587845674078,Did not like,1088,11,1,Express,Complete,498.5467469934718,1
160,Home & Garden,3,66.41522506224189,Defective,646,0,2,Standard,Unopened,218.44910670510566,1
161,Home & Garden,9,489.3975500435332,No longer needed,508,8,0,Express,Complete,409.57129790797615,1
162,Books,4,265.7292459898496,Defective,717,10,2,Express,Unopened,266.73974077500384,1
163,Clothing,2,322.1496867019262,Did not like,860,11,0,Standard,Defective,74.46189412866696,1
164,Books,5,341.9826495149926,Wrong item,1275,14,0,Standard,Damaged,285.277641396171,0
165,Home & Garden,2,193.95788106890274,Defective,752,14,2,Express,Unopened,366.7233991782894,1
166,Beauty & Health,6,378.8135935338259,No longer needed,1101,8,0,Standard,Complete,214.4702103039579,1
167,Electronics,1,437.7279033684882,Did not like,590,5,0,Express,Defective,571.8926429865382,1
168,Home & Garden,6,205.84974867865222,Defective,906,12,1,Standard,Opened,356.92377008751725,0
169,Books,4,335.3604255831431,Did not like,1285,8,2,Standard,Opened,254.3083563264636,0
170,Electronics,3,383.4194355090605,Did not like,246,5,2,Standard,Defective,454.26104669921335,0
171,Books,2,111.26043089075901,Not as described,355,5,0,Express,Opened,237.5061339229967,0
172,Books,7,179.64612051006438,Wrong item,469,12,2,Standard,Complete,63.58838718673978,0
173,Beauty & Health,9,72.22200626285833,Not as described,750,3,0,Standard,Damaged,54.54340944430176,1
174,Electronics,3,309.06006283913763,Did not like,1414,2,0,Standard,Defective,216.08329246201765,0
175,Electronics,6,404.45009399401096,No longer needed,1463,2,2,Express,Damaged,135.79122669829934,1
176,Beauty & Health,9,313.20255516076816,No longer needed,175,1,0,Standard,Damaged,243.8547865008198,1
177,Home & Garden,2,106.2962388689811,Not as described,668,3,1,Express,Defective,473.31336155206714,1
178,Books,7,282.2568756925459,No longer needed,604,8,2,Express,Unopened,219.97780545532711,1
179,Clothing,5,420.76839129267665,Did not like,1444,6,2,Express,Complete,357.80604572156824,0
180,Books,5,165.30790211754518,Defective,761,2,0,Express,Defective,555.8051103041366,0
181,Books,7,419.6727210812674,Did not like,1115,7,2,Express,Complete,434.0610728731913,0
182,Home & Garden,9,396.61917620959423,Defective,1430,13,2,Standard,Damaged,358.9669807900258,1
183,Books,4,30.435587761603937,No longer needed,446,12,1,Standard,Damaged,526.8806536585568,0
184,Beauty & Health,9,134.93831076104095,Wrong item,1322,13,1,Express,Unopened,231.85416457185792,1
185,Beauty & Health,9,280.61235478290837,Wrong item,281,12,2,Express,Damaged,158.81461097042728,0
186,Electronics,4,364.4563376092445,Did not like,339,8,0,Standard,Defective,460.9432233800959,0
187,Clothing,3,442.654652313358,Did not like,165,0,1,Standard,Complete,82.33662311042553,1
188,Books,2,327.70031276858924,No longer needed,270,11,1,Express,Unopened,283.30032250811166,1
189,Books,9,202.56520219977878,Wrong item,264,0,1,Express,Defective,207.892074489811,0
190,Home & Garden,2,108.62105923391138,Wrong item,1053,8,0,Express,Complete,584.2287514389029,1
191,Beauty & Health,6,384.8172106219671,Did not like,162,8,2,Express,Complete,257.40259680382593,0
192,Clothing,5,119.25514847557766,Wrong item,454,6,2,Standard,Opened,414.8860199620937,0
193,Electronics,5,353.8066503047599,Did not like,150,2,1,Express,Opened,197.66652860600902,1
194,Beauty & Health,4,106.98157633817955,Not as described,683,3,2,Express,Defective,590.74490844695,1
195,Electronics,6,63.705848148542934,Wrong item,142,6,1,Express,Unopened,149.21543686018447,0
196,Home & Garden,5,140.52810737913657,Defective,1062,14,1,Standard,Complete,548.686532082517,0
197,Home & Garden,4,156.76630665205485,No longer needed,1444,8,0,Express,Complete,294.9543918285513,0
198,Books,9,330.6603845575568,Did not like,1441,14,0,Express,Defective,285.001549331094,0
199,Clothing,6,97.22401651618827,Wrong item,1339,7,1,Standard,Unopened,435.71347721717984,0
200,Electronics,3,466.54731823370633,Wrong item,1314,7,0,Express,Damaged,101.32462946141297,0
201,Beauty & Health,6,286.09360944429125,Did not like,769,0,0,Express,Unopened,350.6807477092191,1
202,Home & Garden,1,255.6472307919034,Defective,189,5,0,Standard,Damaged,170.98386128937847,1
203,Books,5,228.6533668680165,Wrong item,715,5,2,Express,Complete,136.41692874559212,0
204,Books,6,291.9686465360917,Not as described,662,14,2,Express,Opened,532.6109854867802,1
205,Electronics,8,30.7745442376555,No longer needed,1377,4,0,Standard,Opened,598.5077325139274,0
206,Home & Garden,9,495.2414597979596,Did not like,1230,10,2,Express,Defective,584.1582716431734,0
207,Clothing,3,287.6117005732477,Wrong item,1417,0,1,Express,Unopened,501.6387260283922,0
208,Home & Garden,2,36.89360102728534,No longer needed,1359,2,1,Express,Unopened,555.9838488174414,1
209,Electronics,4,303.1892502558079,Did not like,934,11,0,Express,Damaged,558.3168984674254,1
210,Electronics,8,229.79780397904582,Did not like,455,3,0,Standard,Defective,146.9988028382941,0
211,Home & Garden,8,31.538094399876258,Did not like,716,13,2,Express,Unopened,97.13415698152748,1
212,Electronics,3,463.72580103558704,Defective,866,9,0,Standard,Defective,119.73207742701895,1
213,Home & Garden,4,25.072098595430408,Not as described,403,6,0,Express,Damaged,139.43241195736022,0
214,Beauty & Health,3,297.37840490135426,Did not like,683,14,1,Express,Complete,502.345842239477,1
215,Home & Garden,2,481.6595588605875,Defective,1240,4,1,Express,Defective,567.7011719117137,0
216,Home & Garden,4,134.05015855185246,Did not like,466,1,2,Express,Opened,243.5113475624393,0
217,Electronics,6,142.0059556369264,Did not like,558,2,2,Express,Complete,68.90001318673355,0
218,Electronics,5,20.203101708873135,Defective,219,12,2,Standard,Unopened,219.11410842598727,1
219,Books,3,51.84856255423084,Not as described,1336,13,0,Express,Damaged,438.3762013309233,1
220,Books,2,41.54643755700229,No longer needed,1306,0,0,Express,Damaged,568.5976647753263,1
221,Beauty & Health,9,414.8750161704442,Wrong item,1462,13,0,Standard,Opened,297.33169911316276,0
222,Books,1,421.6340335735611,Did not like,1354,5,0,Standard,Defective,234.83700434920982,1
223,Home & Garden,9,368.81604040857087,Not as described,463,12,1,Express,Opened,409.27285573040416,1
224,Electronics,1,189.31760600820422,Wrong item,583,12,2,Standard,Defective,166.11970099170446,0
225,Books,7,414.20213594664426,Did not like,951,7,2,Express,Opened,471.1977028697857,0
226,Books,6,279.09176971658337,Wrong item,1049,3,1,Express,Opened,277.7184121179671,0
227,Beauty & Health,7,166.06893271036316,Defective,345,1,1,Express,Damaged,587.499267243612,0
228,Beauty & Health,3,229.89284917490738,Not as described,863,11,0,Standard,Defective,563.7653366783211,0
229,Home & Garden,3,51.568529520596314,Not as described,1348,3,2,Express,Opened,415.9528271780833,0
230,Electronics,1,473.55616963995857,No longer needed,1280,9,2,Standard,Unopened,406.38976267697126,1
231,Beauty & Health,4,317.17588032888324,No longer needed,730,3,1,Standard,Damaged,117.73269853388956,0
232,Books,2,370.99238956667494,Wrong item,464,4,2,Standard,Damaged,204.5199188657149,0
233,Electronics,8,344.76001780154076,Defective,1001,2,1,Express,Damaged,524.0611379144707,1
234,Electronics,3,340.5199925700707,Wrong item,285,8,2,Express,Damaged,249.64117547835775,0
235,Books,7,28.285273038675243,Did not like,1308,6,1,Express,Opened,283.26931558530714,1
236,Beauty & Health,7,272.1782142967264,Not as described,379,8,0,Standard,Opened,511.9026889998665,0
237,Books,9,414.4209097402564,Wrong item,841,14,2,Standard,Damaged,284.80919056673736,1
238,Electronics,6,41.369048677567974,Wrong item,1388,6,0,Express,Opened,517.5064182170227,1
239,Clothing,1,478.9595282663699,Not as described,451,11,1,Standard,Opened,88.18596078208188,1
240,Clothing,8,223.5966478428748,Not as described,688,9,2,Standard,Defective,430.0913902945251,1
241,Home & Garden,1,159.14983618465817,No longer needed,181,12,2,Standard,Unopened,84.65511600951311,1
242,Books,3,275.2742535881325,No longer needed,1304,3,0,Standard,Defective,484.50686403646347,0
243,Books,5,404.58281016465736,Not as described,1465,4,0,Standard,Complete,353.7199144644461,1
244,Home & Garden,8,247.88242964894604,Wrong item,295,12,1,Express,Defective,355.729887200498,1
245,Home & Garden,9,329.6507247614681,Did not like,159,6,0,Express,Unopened,257.17858231926584,1
246,Home & Garden,7,259.9589061760928,Wrong item,250,14,2,Express,Unopened,546.8349702595417,0
247,Electronics,9,323.0106831877564,Did not like,1184,5,2,Express,Defective,330.0022223937236,0
248,Books,3,86.25483929438556,Not as described,527,14,2,Express,Defective,193.24042749194044,0
249,Electronics,5,38.55842536548798,Did not like,1050,8,2,Standard,Complete,503.27142872052764,0
250,Home & Garden,8,85.7126747347485,No longer needed,430,2,0,Standard,Damaged,571.4733776440189,0
251,Books,1,157.2023094386858,Not as described,1162,7,0,Express,Unopened,183.26013004541915,0
252,Electronics,8,141.61090997509126,Defective,1376,10,1,Express,Damaged,382.89544433121205,1
253,Electronics,7,315.28416783711054,Did not like,989,9,0,Express,Complete,373.7144841633208,0
254,Home & Garden,1,238.82692358443566,Did not like,1054,10,1,Express,Opened,385.2910804063971,0
255,Books,6,38.62975089288657,Defective,1356,3,0,Standard,Opened,360.32856450530494,1
256,Home & Garden,1,36.735635032172276,Defective,453,8,0,Express,Damaged,105.09753272097583,1
257,Books,2,63.48224101791956,Not as described,1000,0,2,Standard,Defective,276.86762896624225,0
258,Clothing,5,189.47895555241567,Wrong item,1293,4,0,Express,Unopened,592.1436202287753,1
259,Beauty & Health,2,22.967816462590136,Defective,316,11,1,Standard,Damaged,98.51204389667487,0
260,Beauty & Health,1,257.11388740646737,Did not like,447,3,2,Express,Defective,418.2991663949652,0
261,Beauty & Health,6,193.1214388684653,Defective,510,4,0,Standard,Complete,541.8646164203602,1
262,Home & Garden,8,286.61182517159665,Not as described,830,5,2,Express,Defective,160.36174411533239,0
263,Clothing,8,365.9961094797444,Not as described,997,13,2,Standard,Complete,491.33077454523215,1
264,Books,8,140.4669514303301,Did not like,1014,12,2,Express,Damaged,182.97608167917926,0
265,Electronics,6,95.40015086187665,Did not like,342,0,1,Express,Opened,66.70840446145345,0
266,Books,3,153.46570686242603,Did not like,107,7,1,Standard,Unopened,336.62269677904897,0
267,Electronics,1,20.84632733691464,Wrong item,1406,14,0,Standard,Damaged,440.98053484618214,1
268,Books,2,77.60621865237475,Did not like,722,11,2,Express,Opened,158.31751264817737,0
269,Clothing,5,380.3985745694405,Not as described,1023,10,0,Express,Complete,88.73636727399037,1
270,Electronics,5,126.94728435213688,Not as described,679,2,1,Standard,Unopened,354.40199561928677,0
271,Home & Garden,1,497.26382422593855,Defective,265,6,2,Standard,Defective,131.2467802935368,0
272,Books,1,100.5591302551084,Did not like,1326,6,1,Standard,Damaged,151.37336897595398,1
273,Books,9,398.61042347143683,Wrong item,463,8,2,Express,Defective,436.9008165319297,1
274,Electronics,2,358.4213464762566,No longer needed,1275,10,2,Standard,Unopened,386.6588499108276,1
275,Home & Garden,7,174.62342855182766,Defective,757,10,2,Express,Damaged,570.8351429018502,1
276,Home & Garden,4,178.7547889116633,Wrong item,614,6,0,Standard,Damaged,227.87869272895543,0
277,Clothing,7,290.5047588642102,Did not like,1374,11,1,Standard,Defective,167.9147472307118,1
278,Home & Garden,8,429.13956679162806,Wrong item,1200,7,1,Express,Defective,410.6569029696433,1
279,Home & Garden,5,205.3697331773429,No longer needed,831,3,1,Express,Opened,584.598629370754,1
280,Home & Garden,1,49.36634284083514,Wrong item,1009,9,2,Standard,Defective,354.41342396960187,1
281,Beauty & Health,4,199.72120491310244,No longer needed,1351,3,0,Express,Complete,211.59906280006365,1
282,Clothing,3,119.51008315651586,No longer needed,217,9,0,Express,Opened,550.75836091004,0
283,Books,5,470.81936819120835,No longer needed,1109,7,0,Express,Defective,385.71771210126843,1
284,Electronics,6,354.69168626045484,Wrong item,1390,13,0,Standard,Damaged,167.00065944980037,0
285,Books,2,44.39967882240735,Did not like,1358,3,2,Express,Defective,572.2885406180353,1
286,Clothing,7,160.6344978860511,Not as described,1291,12,2,Express,Unopened,200.15571626333002,0
287,Electronics,3,44.10366316198733,Not as described,871,3,0,Standard,Opened,544.1660576925792,0
288,Clothing,1,418.4080017798973,Wrong item,1029,9,0,Standard,Damaged,388.02250313870235,1
289,Home & Garden,3,455.0222729154372,Did not like,795,2,1,Express,Defective,326.45605819418466,1
290,Electronics,9,73.8942108027557,Not as described,621,11,2,Standard,Unopened,232.91194257670472,1
291,Home & Garden,6,231.33922208417414,No longer needed,436,2,0,Express,Opened,115.36855005545598,1
292,Books,6,467.30397528148444,Wrong item,1450,10,2,Express,Opened,184.64687937423264,0
293,Books,4,89.70160962304186,Wrong item,1482,3,1,Standard,Opened,232.05470387812616,0
294,Electronics,8,160.11372351503115,Defective,547,11,0,Standard,Damaged,208.80544614944372,1
295,Electronics,5,166.05183208287482,Defective,752,12,2,Express,Defective,90.32985259353582,0
